Time,Ambient Temperature,Cooler with Ice,Tray with Ice,Tray with Ice Packs ,Refrigerated Tray,Refrigeration
1,21.2,21.9,22.1,21.95,21.45,4.25
2,21.1,22,22.05,21.85,21.45,3.95
3,21.3,21.95,22,21.8,21.45,3.95
4,21.3,21.9,21.95,21.7,21.35,3.9
5,21.25,21.9,21.85,21.65,21.25,3.9
6,21.35,21.9,21.85,21.6,21.35,3.9
7,21.3,22,21.85,21.6,21.25,3.9
8,21.3,21.9,21.95,21.7,21.25,4
9,21.3,21.8,21.85,21.65,21.25,4.05
10,21.3,21.8,21.85,21.65,21.25,4.35
11,21.3,21.85,21.85,21.6,21.2,4.2
12,21.4,21.8,21.75,21.7,21.25,5.2
13,21.45,21.7,21.75,21.65,21.25,4.8
14,21.5,21.65,21.85,21.65,21.4,3.75
15,21.4,21.7,21.95,21.65,21.45,3.25
16,21.35,21.8,21.95,21.7,21.5,2.75
17,21.3,21.6,22.05,21.7,21.55,2.45
18,21.4,21.4,22.05,21.65,21.55,2.3
19,21.4,21.4,21.95,21.65,21.55,2
20,21.5,21.35,21.95,21.65,21.65,1.85
21,21.5,21.3,21.95,21.7,21.55,1.55
22,21.6,21.4,22.05,21.7,21.45,1.35
23,21.5,21.5,22.15,21.7,21.4,1.15
24,21.45,21.5,22.05,21.65,21.55,0.9
25,21.6,21.3,22.05,21.85,21.75,0.65
26,21.5,21.3,22.05,21.75,21.7,0.55
27,21.5,21.3,22.05,21.7,21.65,0.4
28,21.5,21.3,22.15,21.7,21.8,0.25
29,21.55,21.3,22.15,21.65,21.8,0.15
30,21.5,21.4,21.95,21.6,21.95,-0.05
31,21.5,21.5,21.95,21.65,21.8,-0.15
32,21.5,21.35,22,21.75,21.9,-0.3
33,21.5,21.25,22.05,21.65,21.85,-0.45
34,21.5,21.2,22.15,21.55,21.8,-0.55
35,21.45,21.2,22.05,21.45,21.85,-0.25
36,21.5,21.2,22.05,21.45,21.85,0.05
37,21.7,21.3,22.15,21.45,21.95,0.35
38,21.8,21.4,22.25,21.45,21.85,0.55
39,21.8,21.25,22.15,21.45,21.75,0.8
40,21.7,21.2,22.05,21.55,21.75,0.95
41,21.55,21.4,22,21.55,21.7,1.1
42,21.4,21.4,21.95,21.65,21.7,1.3
43,21.35,21.6,21.9,21.65,21.55,1.4
44,21.5,21.55,21.8,21.55,21.55,1.95
45,21.55,21.7,21.85,21.65,21.7,1.85
46,21.6,21.7,21.9,21.9,21.8,1.8
47,21.5,21.6,21.95,21.85,21.85,1.9
48,21.5,21.6,21.95,21.75,21.75,1.95
49,21.5,21.6,21.75,21.75,21.65,2.1
50,21.6,21.6,21.75,21.65,21.65,2.2
51,21.55,21.65,21.85,21.65,21.8,2.1
52,21.4,21.6,21.9,21.75,21.7,2.2
53,21.45,21.65,21.85,21.7,21.9,2.4
54,21.45,21.45,21.9,21.65,21.85,2.5
55,21.25,21.25,21.95,21.75,21.8,2.5
56,21.4,21.2,21.9,21.75,22.05,2.6
57,21.4,21.2,21.95,21.85,22.05,2.6
58,21.3,21.2,21.85,22,21.95,2.65
59,21.2,21.25,21.85,21.95,21.9,2.8
60,21.1,21.4,21.85,21.95,22.05,3.2
