Time,Ambient Temperature,Cooler with Ice,Tray with Ice,Tray with Ice Packs ,Refrigerated Tray,Refrigeration
1,1.6,1.6,1.5,1.65,1.65,20.5
2,1.55,1.75,1.7,1.7,1.75,20.65
3,1.5,1.85,1.75,1.85,1.85,20.3
4,1.75,2,1.9,1.95,1.95,20.05
5,2,2.1,1.95,2.05,2.05,19.85
6,2.25,2.1,2.05,2.25,2.3,19.55
7,2.5,2.2,2.2,2.3,2.5,19.3
8,2.8,2.3,2.35,2.45,2.7,19.05
9,2.95,2.35,2.4,2.6,3,18.85
10,3.2,2.45,2.5,2.65,3.25,18.6
11,3.45,2.55,2.6,2.75,3.45,18.3
12,3.7,2.6,2.7,2.85,3.65,18.1
13,3.9,2.65,2.9,3,3.85,17.85
14,4.1,2.7,3,3.05,4.05,17.6
15,4.3,2.75,3.1,3.15,4.25,17.4
16,4.5,2.8,3.2,3.3,4.45,17.2
17,4.8,2.9,3.3,3.45,4.7,16.95
18,5,2.95,3.4,3.55,4.85,16.8
19,5.2,3,3.5,3.65,5.05,16.55
20,5.35,3.05,3.65,3.7,5.3,16.35
21,5.6,3.05,3.7,3.9,5.5,16.1
22,5.8,3.1,3.8,3.9,5.65,15.95
23,5.9,3.15,3.9,4,5.85,15.7
24,6.2,3.2,3.95,4.1,6,15.5
25,6.35,3.25,4,4.15,6.2,15.3
26,6.6,3.35,4.1,4.25,6.4,15.1
27,6.8,3.35,4.2,4.35,6.6,14.95
28,7,3.4,4.3,4.45,6.75,14.75
29,7.2,3.4,4.4,4.55,6.95,14.5
30,7.35,3.5,4.45,4.65,7.1,14.3
31,7.6,3.55,4.55,4.75,7.35,14.1
32,7.8,3.55,4.6,4.8,7.4,13.95
33,7.9,3.6,4.7,4.95,7.65,13.8
34,8.05,3.6,4.8,4.95,7.8,13.5
35,8.25,3.65,4.9,5.05,7.95,13.4
36,8.4,3.7,4.95,5.15,8.15,13.1
37,8.6,3.8,5.1,5.25,8.3,13
38,8.75,3.8,5.15,5.35,8.45,12.8
39,8.9,3.85,5.2,5.45,8.65,12.6
40,9.1,3.9,5.25,5.55,8.75,12.4
41,9.3,3.9,5.3,5.65,8.9,12.2
42,9.4,3.9,5.4,5.7,9.1,12.05
43,9.6,3.9,5.5,5.85,9.2,11.9
44,9.7,3.95,5.6,5.9,9.3,11.7
45,9.85,3.9,5.6,5.95,9.5,11.55
46,10.05,4,5.8,6.05,9.6,11.4
47,10.15,4.05,5.8,6.15,9.75,11.25
48,10.35,4.05,5.9,6.25,9.85,11.1
49,10.45,4.05,6,6.25,10,11
50,10.65,4.15,5.95,6.35,10.15,10.9
51,10.75,4.15,6.05,6.45,10.35,10.7
52,11,4.1,6.1,6.6,10.5,10.6
53,11.05,4.2,6.1,6.65,10.6,10.45
54,11.15,4.15,6.2,6.75,10.75,10.3
55,11.3,4.2,6.3,6.75,10.85,10.2
56,11.45,4.25,6.3,6.85,10.95,10
57,11.6,4.25,6.4,6.95,11.15,9.9
58,11.75,4.25,6.4,7.1,11.25,9.8
59,11.9,4.25,6.5,7.15,11.3,9.7
60,12,4.35,6.5,7.25,11.5,9.55
