Time,Ambient Temperature,Cooler with Ice,Tray with Ice,Tray with Ice Packs ,Refrigerated Tray,Refrigeration
1,21.2,21.45,22,21.75,21.2,3.1
2,21.4,21.55,22,21.65,21.2,3.2
3,21.4,21.55,21.85,21.7,21.3,2.35
4,21.45,21.45,21.65,21.85,21.3,1.65
5,21.6,21.35,21.65,21.75,21.3,1.35
6,21.75,21.45,21.75,21.6,21.3,1.05
7,21.6,21.35,21.65,21.65,21.5,0.8
8,21.55,21.35,21.65,21.65,21.6,0.6
9,21.45,21.4,21.65,21.65,21.7,0.35
10,21.65,21.45,21.65,21.75,21.75,0.15
11,21.6,21.55,21.7,21.7,21.8,0
12,21.45,21.55,21.65,21.75,21.8,-0.15
13,21.45,21.55,21.55,21.85,21.85,-0.3
14,21.4,21.65,21.45,21.75,21.95,-0.5
15,21.35,21.6,21.45,21.75,21.9,-0.45
16,21.3,21.55,21.6,21.75,21.85,-0.1
17,21.35,21.35,21.55,21.65,22,0.3
18,21.35,21.25,21.45,21.55,21.95,0.55
19,21.25,21.35,21.35,21.7,22,0.65
20,21.25,21.5,21.45,21.7,21.9,0.8
21,21.3,21.55,21.3,21.65,21.85,0.95
22,21.2,21.35,21.35,21.75,21.7,1.15
23,21.25,21.15,21.45,21.75,21.7,1.85
24,21.2,21.15,21.4,21.65,21.65,1.9
25,21.3,21.35,21.4,21.45,21.6,2.3
26,21.3,21.35,21.3,21.4,21.5,2.05
27,21.3,21.4,21.35,21.4,21.45,2
28,21.3,21.45,21.35,21.35,21.5,2.15
29,21.3,21.4,21.3,21.35,21.4,2.15
30,21.25,21.55,21.3,21.4,21.4,2.25
31,21.35,21.6,21.3,21.35,21.4,2.3
32,21.35,21.7,21.5,21.35,21.3,2.4
33,21.35,21.7,21.5,21.35,21.3,2.45
34,21.45,21.7,21.6,21.35,21.3,2.5
35,21.55,21.7,21.5,21.4,21.45,2.55
36,21.55,21.65,21.55,21.45,21.6,2.6
37,21.6,21.6,21.7,21.45,21.55,2.6
38,21.75,21.6,21.65,21.45,21.6,2.7
39,21.75,21.65,21.7,21.25,21.65,2.8
40,21.95,21.5,21.75,21.35,21.65,2.8
41,21.85,21.4,21.85,21.4,21.65,2.9
42,21.95,21.4,21.75,21.45,21.75,2.9
43,21.95,21.25,21.75,21.45,21.85,3
44,22,21.2,21.7,21.45,21.8,3
45,21.85,21.15,21.85,21.4,21.9,3
46,21.8,21.1,21.75,21.35,21.9,3.1
47,21.85,21.2,21.8,21.3,22.1,3.2
48,21.95,21.3,21.9,21.3,22.1,3.2
49,21.8,21.35,21.9,21.25,22.05,3.2
50,21.8,21.4,21.85,21.25,21.9,3.25
51,21.65,21.45,21.75,21.25,21.8,3.4
52,21.65,21.45,21.65,21.45,21.9,3.4
53,21.75,21.55,21.65,21.45,21.95,3.4
54,21.8,21.5,21.65,21.45,21.8,3.4
55,21.65,21.5,21.45,21.45,21.6,2.65
56,21.7,21.4,21.45,21.5,21.6,1.95
57,21.65,21.55,21.45,21.4,21.7,1.45
58,21.6,21.5,21.35,21.4,21.7,1.15
59,21.65,21.55,21.5,21.4,21.8,0.95
60,21.55,21.6,21.5,21.35,21.7,0.65
