Time,Ambient Temperature,Cooler with Ice,Tray with Ice,Tray with Ice Packs ,Refrigerated Tray,Refrigeration
1,21.8,21.75,21.2,21.7,21.4,2.55
2,21.75,21.75,21.25,21.75,21.4,3.4
3,22,21.7,21.45,21.7,21.35,3.1
4,21.85,21.8,21.35,21.7,21.3,2.9
5,21.75,21.8,21.25,21.7,21.3,2.8
6,21.85,21.8,21.25,21.8,21.4,2.8
7,21.75,21.8,21.25,21.75,21.4,2.9
8,21.7,21.6,21.25,21.7,21.5,2.95
9,21.65,21.5,21.25,21.65,21.5,2.95
10,21.85,21.4,21.45,21.65,21.5,2.95
11,21.95,21.4,21.55,21.6,21.4,3
12,21.85,21.6,21.65,21.65,21.45,3.05
13,21.85,21.7,21.75,21.75,21.5,3.05
14,21.85,21.8,21.55,21.65,21.6,3.15
15,21.75,21.8,21.65,21.7,21.8,3.2
16,21.75,21.7,21.65,21.7,21.9,3.25
17,21.85,21.6,21.75,21.75,21.9,3.25
18,22.05,21.5,21.7,21.65,21.9,3.35
19,21.95,21.65,21.65,21.65,21.9,3.35
20,21.95,21.6,21.65,21.75,21.9,3.4
21,21.95,21.85,21.65,21.7,21.9,3.45
22,21.95,21.8,21.65,21.75,21.95,3.4
23,22.25,21.8,21.7,21.75,21.9,2.75
24,22.25,21.8,21.75,21.65,21.9,2.15
25,22.05,21.8,21.75,21.65,21.75,1.65
26,22,21.8,21.65,21.6,21.7,1.35
27,21.85,22,21.65,21.65,21.7,1.1
28,21.85,22.05,21.45,21.65,21.65,0.85
29,21.9,22.1,21.25,21.75,21.7,0.6
30,22.05,22.1,21.35,21.8,21.65,0.5
31,22.05,22,21.25,21.8,21.6,0.25
32,22.1,22,21.4,21.75,21.5,0.1
33,22.1,22,21.4,21.75,21.5,-0.1
34,22.2,22.05,21.6,21.85,21.5,-0.25
35,22.3,22,21.55,21.85,21.45,-0.35
36,22.35,22,21.55,21.8,21.45,-0.55
37,22.35,21.9,21.4,21.8,21.5,-0.25
38,22.15,21.9,21.4,21.8,21.5,0.05
39,22,22,21.35,21.8,21.5,0.4
40,22,21.9,21.35,21.8,21.5,0.55
41,22.1,21.9,21.4,21.85,21.5,0.7
42,22.25,21.9,21.35,21.8,21.5,0.85
43,22.3,21.8,21.15,21.7,21.5,1.05
44,22.4,21.8,21.35,21.65,21.45,1.15
45,22.4,21.9,21.55,21.7,21.4,1.2
46,22.35,22,21.6,21.7,21.4,1.4
47,22.25,21.95,21.85,21.65,21.35,1.5
48,22.15,21.9,21.85,21.65,21.3,1.5
49,22.2,22,21.95,21.7,21.4,1.7
50,22.35,21.85,22.05,21.75,21.4,1.7
51,22.25,21.9,22.05,21.7,21.4,1.8
52,22.15,22,22.05,21.7,21.45,1.85
53,22.1,22.1,21.9,21.75,21.45,2
54,22.05,22.1,21.95,21.75,21.4,2
55,21.95,22.1,21.9,21.7,21.45,2.1
56,22,22.1,21.95,21.7,21.55,2.2
57,22,22.1,21.95,21.7,21.6,2.2
58,22,22.25,21.95,21.6,21.6,2.3
59,22.2,22.15,21.8,21.6,21.6,2.3
60,22.25,22.2,21.85,21.6,21.65,2.4
