Time,Ambient Temperature,Cooler with Ice,Tray with Ice,Tray with Ice Packs ,Refrigerated Tray,Refrigeration
1,1.95,1.75,1.95,1.8,1.9,22
2,2.3,1.85,2.1,1.95,2.1,22
3,2.6,1.95,2.25,2.15,2.35,21.8
4,2.9,2.15,2.45,2.35,2.55,21.35
5,3.2,2.25,2.55,2.45,2.8,21
6,3.45,2.3,2.7,2.55,3,20.65
7,3.65,2.35,2.85,2.7,3.3,20.3
8,3.95,2.45,2.95,2.8,3.5,19.95
9,4.15,2.55,3.15,2.9,3.7,19.6
10,4.35,2.6,3.3,3,3.9,19.35
11,4.6,2.65,3.45,3.2,4.1,18.95
12,4.85,2.75,3.55,3.4,4.3,18.65
13,5.05,2.85,3.7,3.5,4.55,18.3
14,5.2,2.85,3.85,3.6,4.8,18
15,5.45,2.95,3.95,3.7,5,17.75
16,5.65,3,4.15,3.8,5.2,17.35
17,5.9,3.05,4.25,3.95,5.4,17.05
18,6.05,3.15,4.4,4,5.6,16.75
19,6.2,3.15,4.55,4.2,5.7,16.5
20,6.5,3.25,4.7,4.2,5.95,16.2
21,6.7,3.35,4.8,4.35,6.1,16
22,6.9,3.35,4.8,4.45,6.35,15.75
23,7.1,3.4,4.95,4.6,6.55,15.4
24,7.3,3.45,5.1,4.7,6.8,15.25
25,7.45,3.45,5.2,4.85,6.95,14.95
26,7.7,3.55,5.3,4.95,7.1,14.75
27,7.9,3.6,5.45,5.1,7.3,14.5
28,8.1,3.65,5.5,5.2,7.5,14.25
29,8.3,3.65,5.65,5.2,7.7,14.05
30,8.4,3.75,5.7,5.4,7.9,13.9
31,8.6,3.8,5.9,5.45,8.1,13.65
32,8.8,3.8,6,5.55,8.2,13.45
33,9,3.8,6.1,5.65,8.4,13.25
34,9.1,3.85,6.2,5.75,8.5,13.05
35,9.25,3.85,6.3,5.85,8.7,12.95
36,9.45,3.95,6.4,5.95,8.9,12.7
37,9.55,4,6.4,6.05,9.05,12.55
38,9.8,4.05,6.55,6.15,9.25,12.4
39,9.9,4.05,6.65,6.25,9.3,12.15
40,10.1,4.1,6.75,6.35,9.5,12.05
41,10.25,4.1,6.8,6.5,9.6,11.95
42,10.4,4.15,6.95,6.5,9.8,11.75
43,10.5,4.2,7,6.6,9.95,11.55
44,10.7,4.25,7.1,6.75,10.1,11.35
45,10.9,4.25,7.2,6.8,10.25,11.25
46,11.1,4.3,7.2,6.9,10.4,11.1
47,11.2,4.2,7.3,7,10.6,11.05
48,11.3,4.3,7.45,7.1,10.7,10.85
49,11.5,4.3,7.5,7.1,10.9,10.65
50,11.6,4.3,7.55,7.3,11,10.55
51,11.8,4.3,7.65,7.3,11.1,10.45
52,11.9,4.35,7.7,7.4,11.3,10.35
53,12,4.4,7.85,7.45,11.4,10.25
54,12.2,4.4,7.9,7.55,11.55,10.15
55,12.3,4.45,8,7.55,11.7,10.05
56,12.35,4.5,8,7.65,11.8,9.95
57,12.55,4.45,8.1,7.7,11.9,9.75
58,12.65,4.5,8.2,7.8,12.1,9.65
59,12.8,4.5,8.25,7.95,12.2,9.4
60,12.9,4.6,8.3,7.95,12.3,9.35
