,CountyName,RecType,breaks,lunches,L1,B1,L2,B2,L3,B3,L4,B4,L5,B5,L6
295,Adams,Sch,0,1,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
296,Adams,Sch,0,1,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
322,Bond,Sch,0,1,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
323,Bond,Sch,0,1,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
343,Boone,Sch,0,1,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
504,Clay,Sch,0,1,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
505,Clay,Sch,0,1,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
509,Clinton,Sch,0,1,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
524,Clinton,Sch,0,1,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
537,Coles,Sch,0,1,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
545,Coles,Sch,0,1,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
546,Coles,Sch,0,1,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
549,Cook,Sch,0,1,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
572,Cook,Sch,0,1,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
588,Cook,Sch,0,1,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
589,Cook,Sch,0,1,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
781,Cook,Sch,0,1,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
788,Cook,Sch,0,1,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
884,Cook,Sch,0,1,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
890,Cook,Sch,0,1,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
938,Cook,Sch,0,1,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1006,Cook,Sch,0,1,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1039,Cook,Sch,0,1,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1290,Cook,Sch,0,1,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1304,Cook,Sch,0,1,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1305,Cook,Sch,0,1,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1310,Cook,Sch,0,1,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1313,Cook,Sch,0,1,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1319,Cook,Sch,0,1,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1333,Cook,Sch,0,1,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1334,Cook,Sch,0,1,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1373,Cook,Sch,0,1,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1408,Cook,Sch,0,1,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1414,Cook,Sch,0,1,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1415,Cook,Sch,0,1,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1418,Cook,Sch,0,1,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1419,Cook,Sch,0,1,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1453,Cook,Sch,0,1,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1576,Cook,Sch,0,1,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1577,Cook,Sch,0,1,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1857,Cook,Sch,0,1,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1918,Cook,Sch,0,1,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2142,Dupage,Sch,0,1,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2648,Jefferson,Sch,0,1,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2694,Johnson,Sch,0,1,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2696,Johnson,Sch,0,1,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2963,Knox,Sch,0,1,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2974,Knox,Sch,0,1,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2983,La Salle,Sch,0,1,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3232,Lake,Sch,0,1,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3303,Livingston,Sch,0,1,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3373,Macon,Sch,0,1,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3403,Macoupin,Sch,0,1,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3422,Macoupin,Sch,0,1,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3423,Macoupin,Sch,0,1,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3593,McHenry,Sch,0,1,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3780,Montgomery,Sch,0,1,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
